"treatment","sex","subject","frequency","response","responsem1","responsem2","responsem3"
"cadmium","male","16","X0.65cm",1,1,1,1
"cadmium","male","17","X0.65cm",0,0,0,1
"cadmium","male","18","X0.65cm",0,0,0,1
"cadmium","male","19","X0.65cm",0,0,0,1
"cadmium","female","20","X0.65cm",0,0,0,1
"water","female","21","X0.65cm",1,1,1,1
"water","female","22","X0.65cm",0,0,0,1
"water","female","23","X0.65cm",-1,0,1,0
"water","female","24","X0.65cm",-1,0,1,0
"water","female","25","X0.65cm",0,0,0,1
"water","female","26","X0.65cm",0,0,0,1
"water","female","27","X0.65cm",0,0,0,1
"water","female","28","X0.65cm",1,1,1,1
"water","female","29","X0.65cm",-1,0,1,0
"water","female","30","X0.65cm",1,1,1,1
"water","female","31","X0.65cm",-1,0,1,0
"water","male","32","X0.65cm",0,0,0,1
"water","male","33","X0.65cm",0,0,0,1
"water","male","34","X0.65cm",1,1,1,1
"water","male","35","X0.65cm",1,1,1,1
"water","male","36","X0.65cm",-1,0,1,0
"water","male","37","X0.65cm",0,0,0,1
"water","male","38","X0.65cm",0,0,0,1
"water","male","39","X0.65cm",0,0,0,1
"water","male","40","X0.65cm",0,0,0,1
